Depth,Width,Parameters,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50
33,38,0.355804,26.840000,40.549999,30.619999,50.309998,45.430000,54.459999,48.009998,56.520000,47.939999,64.650002,54.889999,54.989998,69.939995,67.389999,64.680000,73.889999,74.769997,75.040001,75.540001,75.720001,75.959999,69.729996,80.009995,77.479996,78.970001,78.559998,80.329994,79.479996,81.799995,81.269997,83.570000,80.989998,81.519997,85.680000,85.400002,86.079994,84.500000,86.839996,87.129997,87.339996,86.579994,87.769997,88.339996,88.139999,88.220001,88.549995,88.849998,88.509995,88.619995,88.629997
36,110,3.050750,36.410000,42.500000,49.919998,53.000000,55.059998,64.760002,66.279999,61.799999,67.279999,73.820000,75.869995,71.930000,67.879997,64.680000,69.619995,76.199997,74.169998,79.349998,75.580002,79.879997,75.769997,81.849998,82.299995,82.709999,76.320000,80.930000,82.250000,78.439995,83.909996,84.729996,85.379997,85.849998,86.650002,87.979996,88.849998,88.889999,89.610001,89.489998,90.470001,90.849998,91.199997,91.439995,91.729996,91.979996,92.269997,92.019997,92.360001,92.439995,92.259995,92.349998
14,50,0.260210,46.169998,61.320000,62.230000,70.889999,73.489998,76.900002,77.559998,76.389999,78.299995,81.579994,81.029999,81.919998,81.269997,78.829994,80.349998,82.809998,77.939995,83.919998,83.049995,85.559998,85.489998,82.729996,84.430000,85.579994,86.339996,85.360001,88.029999,87.860001,87.150002,88.360001,87.479996,89.449997,89.619995,88.169998,89.619995,89.979996,90.389999,90.379997,90.779999,91.239998,91.619995,91.529999,91.689995,92.000000,91.930000,92.009995,91.989998,91.799995,92.040001,92.049995
35,60,0.930790,37.399998,37.969997,47.349998,39.209999,57.039997,56.639999,61.379997,57.739998,62.980000,63.009998,65.290001,64.529999,66.479996,71.349998,71.970001,70.599998,66.739998,75.049995,69.959999,70.049995,71.509995,76.470001,72.409996,75.189995,70.369995,80.209999,82.519997,81.820000,80.470001,81.139999,78.080002,83.389999,82.989998,85.079994,83.070000,86.199997,85.839996,87.900002,87.900002,88.619995,88.689995,89.610001,89.049995,89.779999,90.059998,89.970001,90.290001,90.320000,90.369995,90.369995
38,42,0.508882,29.469999,40.439999,39.849998,46.160000,48.559998,46.750000,51.169998,58.549999,58.879997,59.259998,63.169998,64.909996,58.590000,66.970001,67.729996,71.279999,70.790001,73.049995,54.329998,74.040001,73.759995,75.659996,71.580002,73.459999,78.089996,77.070000,78.430000,78.750000,77.849998,78.199997,82.339996,78.769997,76.639999,81.049995,84.339996,84.299995,84.089996,84.769997,86.529999,86.189995,87.019997,87.889999,87.779999,88.259995,88.489998,88.400002,88.589996,88.400002,88.540001,88.849998
39,84,1.953598,30.080000,43.059998,50.219997,52.750000,57.219997,58.769997,58.070000,58.969997,65.000000,63.369999,60.669998,63.469997,66.559998,69.159996,71.449997,75.070000,70.639999,74.009995,74.699997,76.720001,65.629997,75.389999,76.320000,67.229996,80.290001,81.389999,80.220001,81.650002,82.329994,81.519997,83.509995,84.059998,85.720001,86.489998,86.349998,86.669998,87.489998,86.989998,87.470001,89.099998,89.180000,89.860001,90.389999,90.019997,90.309998,90.669998,90.570000,90.669998,90.689995,90.599998
25,82,1.237390,44.779999,42.459999,62.969997,59.199997,65.709999,73.269997,74.659996,73.449997,76.070000,78.439995,79.659996,76.909996,78.119995,78.409996,77.580002,80.799995,83.239998,82.059998,81.169998,84.709999,85.290001,84.860001,80.959999,84.259995,85.829994,86.470001,85.150002,87.489998,87.939995,87.519997,88.820000,87.709999,90.320000,88.790001,89.019997,90.199997,91.059998,91.209999,91.339996,92.110001,92.349998,92.699997,92.529999,92.779999,92.939995,93.009995,93.019997,92.909996,93.099998,92.979996
25,18,0.070030,29.179998,39.059998,44.000000,44.910000,50.129997,59.320000,57.369999,62.649998,58.829998,66.279999,61.689999,62.070000,67.360001,67.709999,62.840000,66.680000,70.489998,70.860001,70.489998,72.549995,73.089996,72.610001,72.669998,70.659996,76.209999,77.070000,75.610001,74.729996,80.610001,77.509995,80.769997,78.959999,81.699997,79.820000,82.599998,83.180000,84.099998,83.989998,84.639999,85.059998,85.299995,85.279999,85.939995,86.070000,85.879997,86.059998,86.239998,86.229996,86.290001,86.209999
43,98,3.008610,27.519999,37.719997,38.790001,49.059998,50.459999,55.000000,58.459999,56.699997,56.539997,54.219997,63.459999,59.609997,63.820000,64.619995,63.879997,68.959999,70.949997,60.930000,70.790001,70.650002,70.509995,75.019997,74.619995,69.989998,72.379997,75.909996,79.750000,76.199997,77.259995,79.629997,79.579994,79.259995,84.059998,83.139999,83.209999,84.400002,84.860001,82.259995,85.900002,86.790001,87.739998,87.729996,87.540001,88.589996,88.619995,88.759995,88.839996,89.009995,89.040001,89.089996
31,62,0.889586,35.619999,40.509998,53.739998,56.289997,63.509998,64.580002,65.470001,71.989998,70.169998,68.049995,73.239998,70.739998,75.809998,74.849998,75.019997,74.150002,77.400002,76.919998,65.250000,79.409996,81.189995,81.220001,76.489998,79.269997,84.159996,81.699997,80.459999,82.409996,85.349998,84.900002,86.299995,87.009995,86.470001,87.549995,88.699997,88.680000,87.699997,89.129997,89.949997,90.239998,90.649994,90.790001,90.849998,91.049995,91.169998,91.320000,91.459999,91.470001,91.430000,91.430000
